fy_year,vintage,region,value
2046,2025-01,TAS,7.83
2047,2025-01,TAS,7.71
2048,2025-01,TAS,7.92
2049,2025-01,TAS,8.08
2050,2025-01,TAS,7.7
2051,2025-01,TAS,7.76
2052,2025-01,TAS,7.6
2053,2025-01,TAS,8.06
2054,2025-01,TAS,8.17
2055,2025-01,TAS,8.36
2056,2025-01,TAS,8.29
2057,2025-01,TAS,8.55
2058,2025-01,TAS,8.7
2059,2025-01,TAS,8.62
2060,2025-01,TAS,8.41
2026,2025-07,NSW,13.6714688923724
2027,2025-07,NSW,8.33717566805144
2028,2025-07,NSW,7.75000475037895
2029,2025-07,NSW,8.52104741430603
2030,2025-07,NSW,8.32995610003863
2031,2025-07,NSW,4.58334383008571
2032,2025-07,NSW,5.74259466516703
2033,2025-07,NSW,7.31789872893563
2034,2025-07,NSW,6.99504153422032
2035,2025-07,NSW,7.77320897236547
2036,2025-07,NSW,7.92882011971784
2037,2025-07,NSW,8.19262475061729
2038,2025-07,NSW,9.13992931328755
2039,2025-07,NSW,9.85377861658358
2040,2025-07,NSW,10.1960196417188
2041,2025-07,NSW,10.2394480714478
2042,2025-07,NSW,9.63866382061972
2043,2025-07,NSW,10.0769394392161
2044,2025-07,NSW,9.64936112564656
2045,2025-07,NSW,9.90305597197085
2046,2025-07,NSW,9.98108428378757
2047,2025-07,NSW,10.0167516704846
2048,2025-07,NSW,9.68640436007243
2049,2025-07,NSW,9.4414911629866
2050,2025-07,NSW,9.43161133701909
2051,2025-07,NSW,9.03223456041625
2052,2025-07,NSW,8.94503657770011
2053,2025-07,NSW,8.74535648299552
2054,2025-07,NSW,9.1790121832735
2055,2025-07,NSW,9.22323503906125
2056,2025-07,NSW,9.74609597309147
2057,2025-07,NSW,9.26264626985269
2058,2025-07,NSW,9.10001697872581
2059,2025-07,NSW,9.04121578406239
2060,2025-07,NSW,9.39226485675938
2026,2025-07,QLD,8.1474552246945
2027,2025-07,QLD,7.76855758318927
2028,2025-07,QLD,7.11766201144376
2029,2025-07,QLD,8.10758457874374
2030,2025-07,QLD,8.78188644344735
2031,2025-07,QLD,8.79564504620595
2032,2025-07,QLD,9.4809976141667
2033,2025-07,QLD,9.79896035089527
2034,2025-07,QLD,9.26297769211465
2035,2025-07,QLD,9.42109542119611
2036,2025-07,QLD,6.50036002300176
2037,2025-07,QLD,6.94949904696557
2038,2025-07,QLD,7.13252143473071
2039,2025-07,QLD,7.79177431135146
2040,2025-07,QLD,7.24716713648318
2041,2025-07,QLD,7.18830953243458
2042,2025-07,QLD,6.5434498275514
2043,2025-07,QLD,6.35954234926164
2044,2025-07,QLD,6.62687193505129
2045,2025-07,QLD,5.9222252894047
2046,2025-07,QLD,6.00107981046648
2047,2025-07,QLD,5.9145636704811
2048,2025-07,QLD,5.51321703656065
2049,2025-07,QLD,5.65030482262327
2050,2025-07,QLD,5.43456320767908
2051,2025-07,QLD,5.49923192321755
2052,2025-07,QLD,5.16468747302793
2053,2025-07,QLD,5.77048230395395
2054,2025-07,QLD,5.56061583609869
2055,2025-07,QLD,5.65225737101255
2056,2025-07,QLD,5.57579383943739
2057,2025-07,QLD,6.27252849249885
2058,2025-07,QLD,5.83354802373535
2059,2025-07,QLD,5.68803185187628
2060,2025-07,QLD,5.54156423755697
2026,2025-07,SA,11.4146673998399
2027,2025-07,SA,14.0469773110079
2028,2025-07,SA,6.99549580125084
2029,2025-07,SA,8.46939954215956
2030,2025-07,SA,8.36221152910529
2031,2025-07,SA,8.60778718599868
2032,2025-07,SA,8.90625607051059
2033,2025-07,SA,8.44043754346955
2034,2025-07,SA,7.63100834663364
2035,2025-07,SA,7.60110879016732
