fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2039,2024-08,VIC,4h,2025,True,base,-77708.149
2040,2024-08,VIC,4h,2025,True,base,-84036.143
2041,2024-08,VIC,4h,2025,True,base,-81775.791
2042,2024-08,VIC,4h,2025,True,base,-77238.083
2043,2024-08,VIC,4h,2025,True,base,-75271.197
2044,2024-08,VIC,4h,2025,True,base,-73191.483
2045,2024-08,VIC,4h,2025,True,base,-103461.454
2046,2024-08,VIC,4h,2025,True,base,-105269.348
2047,2024-08,VIC,4h,2025,True,base,-101537.699
2048,2024-08,VIC,4h,2025,True,base,-101450.882
2049,2024-08,VIC,4h,2025,True,base,-103934.924
2050,2024-08,VIC,4h,2025,True,base,-100323.534
2051,2024-08,VIC,4h,2025,True,base,-97373.076
2052,2024-08,VIC,4h,2025,True,base,-93181.786
2053,2024-08,VIC,4h,2025,True,base,-93833.125
2054,2024-08,VIC,4h,2025,True,base,-96376.269
2055,2024-08,VIC,4h,2025,True,base,-94990.155
2056,2024-08,VIC,4h,2025,True,base,-92706.087
2057,2024-08,VIC,4h,2025,True,base,-96589.695
2058,2024-08,VIC,4h,2025,True,base,-94296.649
2059,2024-08,VIC,4h,2025,True,base,-94610.951
2060,2024-08,VIC,4h,2025,True,base,-91005.251
2027,2024-08,NSW,1h,2027,True,base,0.0
2028,2024-08,NSW,1h,2027,True,base,0.0
2029,2024-08,NSW,1h,2027,True,base,-15854.764
2030,2024-08,NSW,1h,2027,True,base,-20520.767
2031,2024-08,NSW,1h,2027,True,base,-22258.937
2032,2024-08,NSW,1h,2027,True,base,-18304.767
2033,2024-08,NSW,1h,2027,True,base,-18009.668
2034,2024-08,NSW,1h,2027,True,base,-20648.173
2035,2024-08,NSW,1h,2027,True,base,-21758.344
2036,2024-08,NSW,1h,2027,True,base,-21833.782
2037,2024-08,NSW,1h,2027,True,base,-20942.374
2038,2024-08,NSW,1h,2027,True,base,-20825.026
2039,2024-08,NSW,1h,2027,True,base,-19745.323
2040,2024-08,NSW,1h,2027,True,base,-18647.345
2041,2024-08,NSW,1h,2027,True,base,-20442.841
2042,2024-08,NSW,1h,2027,True,base,-21102.761
2043,2024-08,NSW,1h,2027,True,base,-20637.197
2044,2024-08,NSW,1h,2027,True,base,-18857.139
2045,2024-08,NSW,1h,2027,True,base,-17660.343
2046,2024-08,NSW,1h,2027,True,base,-17446.406
2047,2024-08,NSW,1h,2027,True,base,-18795.907
2048,2024-08,NSW,1h,2027,True,base,-16215.967
2049,2024-08,NSW,1h,2027,True,base,-22840.568
2050,2024-08,NSW,1h,2027,True,base,-24526.279
2051,2024-08,NSW,1h,2027,True,base,-23873.708
2052,2024-08,NSW,1h,2027,True,base,-21622.241
2053,2024-08,NSW,1h,2027,True,base,-22085.921
2054,2024-08,NSW,1h,2027,True,base,-20270.634
2055,2024-08,NSW,1h,2027,True,base,-21609.093
2056,2024-08,NSW,1h,2027,True,base,-22409.935
2057,2024-08,NSW,1h,2027,True,base,-21456.265
2058,2024-08,NSW,1h,2027,True,base,-20418.826
2059,2024-08,NSW,1h,2027,True,base,-20845.073
2060,2024-08,NSW,1h,2027,True,base,-20621.556
2061,2024-08,NSW,1h,2027,True,base,-19212.529
2062,2024-08,NSW,1h,2027,True,base,-20783.745
2027,2024-08,NSW,2h,2027,True,base,0.0
2028,2024-08,NSW,2h,2027,True,base,0.0
2029,2024-08,NSW,2h,2027,True,base,-33101.018
2030,2024-08,NSW,2h,2027,True,base,-43134.343
2031,2024-08,NSW,2h,2027,True,base,-38488.718
2032,2024-08,NSW,2h,2027,True,base,-36463.669
2033,2024-08,NSW,2h,2027,True,base,-37540.434
2034,2024-08,NSW,2h,2027,True,base,-42938.426
2035,2024-08,NSW,2h,2027,True,base,-44343.661
2036,2024-08,NSW,2h,2027,True,base,-45665.414
2037,2024-08,NSW,2h,2027,True,base,-44127.673
2038,2024-08,NSW,2h,2027,True,base,-43708.097
2039,2024-08,NSW,2h,2027,True,base,-41799.142
2040,2024-08,NSW,2h,2027,True,base,-40842.929
2041,2024-08,NSW,2h,2027,True,base,-42644.636
2042,2024-08,NSW,2h,2027,True,base,-44770.902
2043,2024-08,NSW,2h,2027,True,base,-43493.752
2044,2024-08,NSW,2h,2027,True,base,-40398.543
2045,2024-08,NSW,2h,2027,True,base,-38300.676
2046,2024-08,NSW,2h,2027,True,base,-38244.149
2047,2024-08,NSW,2h,2027,True,base,-36803.556
2048,2024-08,NSW,2h,2027,True,base,-35821.193
2049,2024-08,NSW,2h,2027,True,base,-48705.319
2050,2024-08,NSW,2h,2027,True,base,-51974.52
2051,2024-08,NSW,2h,2027,True,base,-50992.934
2052,2024-08,NSW,2h,2027,True,base,-47231.315
2053,2024-08,NSW,2h,2027,True,base,-47857.685
2054,2024-08,NSW,2h,2027,True,base,-44378.794
2055,2024-08,NSW,2h,2027,True,base,-45830.793
2056,2024-08,NSW,2h,2027,True,base,-46547.834
2057,2024-08,NSW,2h,2027,True,base,-46219.462
2058,2024-08,NSW,2h,2027,True,base,-44522.866
